Time (s),Acceleration x (m/s^2),Acceleration y (m/s^2),Acceleration z (m/s^2),Absolute acceleration (m/s^2),label
2.539793958,16.49165543,-5.474565582,1.810485077,17.47064461,0.0
2.549775958,18.71049133,-4.874313812,3.169209595,19.59299136,0.0
2.559757958,19.72074051,-5.291645966,3.248245239,20.67511113,0.0
2.569739958,20.13642609,-4.697381744,3.329675903,20.94344271,0.0
2.579721958,19.76759308,-3.535497894,3.788022766,20.43542507,0.0
2.589703958,17.91145294,-2.114802246,5.553900604,18.87162809,0.0
2.599685958,15.42796738,-0.5233117676,7.384593658,17.11222534,0.0
2.609667958,13.36705307,0.5797444153,8.446036377,15.82244424,0.0
2.619649958,10.60020676,1.639839935,9.752369843,14.49697126,0.0
2.629631958,8.507259064,2.627336426,10.92443253,14.09324588,0.0
2.639613958,7.175328827,3.087629242,12.33539841,14.60071409,0.0
2.649595958,6.939868469,-0.7622149658,7.15736618,9.998531725,0.0
2.659578958,5.478457489,-2.188299408,6.52088974,8.793415364,0.0
2.669560958,4.496499481,-1.059945831,7.115453339,8.483611788,0.0
2.679542958,3.460803223,-1.648072815,6.883735199,7.879029968,0.0
2.689524958,2.651585999,-2.208657074,6.858288116,7.677577109,0.0
2.699506958,1.749412079,-1.734293518,6.872059479,7.300234113,0.0
2.709488958,1.12790451,-1.688788147,6.168372803,6.494073993,0.0
2.719470958,0.8930429077,-1.748813324,5.085075531,5.451042729,0.0
2.729452958,0.7869136047,-1.557511139,4.294120331,4.635142218,0.0
2.739434958,1.648521881,-1.752256165,4.8651828,5.427525195,0.0
2.749416958,2.74379425,-2.241438904,5.421276398,6.47631786,0.0
2.759398958,3.569177856,-2.278561707,5.397924957,6.860646315,0.0
2.769380958,4.331392822,-1.945354614,5.317841492,7.129151877,0.0
2.779363958,4.653972015,-1.544937286,5.464985504,7.342503204,0.0
2.789345958,4.968917084,-1.425036621,5.565875702,7.596040988,0.0
2.799327958,5.248535614,-1.408570862,5.997727661,8.093450133,0.0
2.809309958,5.034331055,-1.225950623,6.34769989,8.193945203,0.0
2.819291958,4.816384277,-0.6012995911,6.594237213,8.18798407,0.0
2.829273958,4.73764801,0.1642085266,6.404282227,7.967879514,0.0
2.839255958,4.767735443,0.8271798706,6.080655212,7.771093591,0.0
2.849237958,5.05708374,1.123563538,5.842949524,7.808748307,0.0
2.859219958,5.257516937,1.350341949,5.782175903,7.930855307,0.0
2.869201958,5.32742157,1.48835495,5.656736755,7.911718635,0.0
2.879183958,5.170398102,1.824855194,5.462740173,7.739808991,0.0
2.889171583,4.990771637,2.301314392,4.998405762,7.428856549,0.0
2.899154583,5.547463989,1.893113251,4.474794617,7.374416679,0.0
2.909136583,7.14808548,0.282462616,5.638175354,9.108453902,0.0
2.919118583,7.869734802,-0.8554710388,7.040758667,10.59418893,0.0
2.929100583,7.978708191,-1.37249588,7.782316589,11.22978098,0.0
2.939082583,7.681875458,-1.250499573,8.638835449,11.62774431,0.0
2.949064583,6.976242828,-0.8478369141,8.79675705,11.25920628,0.0
2.959046583,6.431375885,-0.3176394653,8.862919464,10.95512812,0.0
2.969028583,6.114634552,0.1124162292,8.62236969,10.57102891,0.0
2.979010583,6.256539459,0.4586462402,7.884703674,10.07587189,0.0
2.988992583,7.106172638,0.3664379883,7.444020081,10.29783479,0.0
2.998974583,7.794141998,0.217048645,7.279362488,10.66699948,0.0
3.008956583,8.271499329,0.05792953491,7.160210266,10.94027733,0.0
3.018938583,8.409662018,-0.02409988403,7.105274506,11.00944694,0.0
3.028921583,8.410859528,-0.1814227295,7.206464081,11.07739124,0.0
3.038903583,8.165968781,0.005837860107,7.310497742,10.9602216,0.0
3.048885583,7.775879974,0.3965254211,6.953639832,10.43909233,0.0
3.058867583,7.584278412,0.4972659302,6.452032928,9.969818521,0.0
3.068849583,7.39372467,0.3138972473,6.317013702,9.729869377,0.0
3.078831583,7.274123383,0.08337661743,6.198909302,9.557525787,0.0
3.088813583,7.110812988,0.2219883728,5.688620453,9.10897046,0.0
3.098795583,7.079677734,0.2866539001,5.38819519,8.901497329,0.0
3.108777583,7.394323425,-0.1154100037,5.69835022,9.335980592,0.0
3.118759583,7.959248657,-0.4544549561,6.10430603,10.04085258,0.0
3.128741583,8.462502136,-0.3498225403,6.126459961,10.45322103,0.0
3.138723583,8.809330902,-0.4251159668,5.870941315,10.59495099,0.0
3.148705583,9.291478271,-1.257684631,6.164181519,11.2209836,0.0
3.158687583,9.378896484,-2.42091568,7.058871002,11.98549923,0.0
3.168670583,8.903036041,-2.882855072,7.96598465,12.28950022,0.0
3.178652583,7.768395538,-2.703378296,8.73942627,12.00140804,0.0
3.188634583,6.538852386,-2.054178314,8.184530182,10.67533481,0.0
3.198616583,5.485043793,-1.062939606,7.191195831,9.106527521,0.0
3.208598583,4.950056305,-0.470022583,6.300248566,8.026027077,0.0
3.218580583,5.060825958,-0.5719606018,6.079457703,7.930882944,0.0
3.228562583,5.788013763,-0.6420149231,5.993686066,8.356886929,0.0
3.238544583,7.116650848,-0.8894503784,5.784421234,9.213976899,0.0
3.248526583,8.242908783,-0.9602531433,5.875282288,10.16791883,0.0
3.258508583,9.155860291,-0.8026309204,5.749244385,10.84102417,0.0
3.268490583,9.773925018,-0.7114704895,5.485193481,11.23045627,0.0
3.278472583,9.683812408,-0.2251318359,5.492677917,11.13536788,0.0
3.288454583,9.205556946,0.3141966248,5.585484924,10.77212328,0.0
3.298436583,8.552465057,0.6732998657,5.59296936,10.2410594,0.0
3.308419583,7.817493439,0.9012757874,5.423072662,9.556946103,0.0
3.318401583,7.382498016,0.8719367981,5.301824799,9.130766503,0.0
3.328383583,6.87655014,0.7604187012,5.399870911,8.776319518,0.0
3.338365583,6.323450317,0.6352789307,5.405559082,8.34324111,0.0
3.348347583,6.27869339,-0.02903961182,5.129233704,8.107519495,0.0
3.358329583,6.694528656,-0.5575904846,5.433999939,8.640368997,0.0
3.368311583,6.734794922,-0.7595205688,5.729635162,8.87485511,0.0
3.378293583,6.432723083,-0.8412506104,6.251300354,9.009238868,0.0
3.388275583,5.596262512,-0.2803669739,6.257437592,8.399540759,0.0
3.398257583,4.989723816,0.2881507874,5.776637421,7.638711575,0.0
3.408239583,5.076842651,0.653840332,4.998854828,7.154745843,0.0
3.418221583,5.48414566,0.8872050476,4.471202087,7.131243547,0.0
3.428203583,5.952821045,0.8996292114,4.223616943,7.354206361,0.0
3.438185583,6.206244049,1.093326416,4.354145508,7.659726559,0.0
3.448168583,6.357579346,1.085991669,4.587210846,7.914587569,0.0
3.458150583,6.357279968,1.231339417,4.710554352,8.007529435,0.0
3.468132583,6.271059265,1.574276276,4.522994385,7.890627878,0.0
3.478114583,6.461613007,1.680405579,4.442012787,8.01920714,0.0
3.488096583,6.882088623,1.504371643,4.752018127,8.497526354,0.0
3.498078583,7.207511902,1.250948639,5.177433472,8.962082217,0.0
3.508060583,7.393125916,1.213227081,5.451812897,9.265662125,0.0
3.518042583,7.500003662,1.126557312,5.498964844,9.367913357,0.0
3.528024583,7.981552277,0.5671705627,5.901328125,9.942461105,0.0
3.538006583,8.377029877,0.4552033997,6.111640778,10.37949867,0.0
3.547988583,8.279732208,0.8476872253,5.611830139,10.03818592,0.0
3.557970583,8.102051697,1.158740387,5.342540131,9.773876203,0.0
3.567952583,7.866741028,0.9966275024,5.528004456,9.666318536,0.0
3.577934583,7.710016937,0.3288661194,6.440656586,10.05159546,0.0
3.587916583,7.569159851,-0.3312611389,7.560926971,10.70371578,0.0
3.597898583,7.380252686,-0.2014810181,7.521109772,10.53925123,0.0
3.607881583,7.787106628,0.1041833496,7.028334503,10.4903465,0.0
3.617863583,8.182883606,0.2701881409,6.696175232,10.57692528,0.0
3.627845583,8.708889771,0.06616241455,6.539900208,10.8912549,0.0
3.637827583,9.066047058,-0.1947450256,6.507417755,11.16143453,0.0
3.647809583,9.176816711,-0.274379425,6.147566071,11.04906411,0.0
3.657791583,9.107510834,-0.3818559265,5.566025391,10.6805059,0.0
3.667773583,9.270372162,-0.8165519714,5.569767609,10.84568432,0.0
3.677755583,9.490115204,-1.285826111,5.625451813,11.10681518,0.0
3.687737583,9.760003967,-1.554068298,5.57665329,11.34776928,0.0
3.697719583,10.00190094,-1.912273407,5.62575119,11.63373923,0.0
3.707701583,9.936037903,-2.451152802,6.030060425,11.87832598,0.0
3.717683583,9.242979126,-2.753973083,6.466852112,11.61194243,0.0
3.727665583,8.212372284,-2.732268219,6.941664734,11.0948212,0.0
3.737647583,6.80754364,-2.517015839,7.069199524,10.13171264,0.0
3.747629583,5.68547699,-2.700833588,7.259902954,9.608607681,0.0
3.757611583,4.852010193,-3.024759979,7.35869751,9.318884315,0.0
3.767594583,4.470303955,-3.855233002,7.532785492,9.570229685,0.0
3.777576583,4.478387146,-4.784201202,8.057893524,10.38624959,0.0
3.787558583,4.614603882,-5.491480408,8.311316528,10.97856587,0.0
3.797540583,4.804708557,-5.975424042,8.065078583,11.12818086,0.0
3.807522583,5.10154129,-6.341263275,7.699838104,11.20378732,0.0
3.817504583,5.4292099,-6.775809631,7.419920197,11.42117034,0.0
3.827486583,5.463039551,-6.869514771,7.233258362,11.37343663,0.0
3.837468583,5.387596436,-6.819369049,6.804549866,11.03774834,0.0
3.847450583,5.517376556,-6.942413177,6.030210114,10.72389756,0.0
3.857432583,5.901477814,-7.043153687,5.359754333,10.63768869,0.0
3.867414583,6.42374176,-7.058122559,4.926704865,10.74029669,0.0
3.877396583,7.294031982,-7.333849182,4.35384613,11.22248736,0.0
3.887370708,8.315956879,-7.743996277,4.12691803,12.08950245,0.0
3.897352708,9.004225616,-7.840844879,3.842659149,12.54276511,0.0
3.907334708,9.86269043,-7.826624451,3.132086792,12.9745397,0.0
