"Time (s)","Acceleration x (m/s^2)","Acceleration y (m/s^2)","Acceleration z (m/s^2)","Absolute acceleration (m/s^2)"
1.289165458E0,-1.061278061E1,3.529809723E0,5.501808929E0,1.246437204E1
1.299203458E0,-9.286089478E0,3.879482574E0,5.152585144E0,1.130623618E1
1.309240459E0,-7.831264801E0,3.955374756E0,5.560037842E0,1.038690130E1
1.319278458E0,-6.433321838E0,3.972588959E0,6.422544250E0,9.920593105E0
1.329315458E0,-4.982538757E0,4.083657990E0,7.320975952E0,9.751853359E0
1.339353458E0,-3.561843109E0,4.421954498E0,8.036937103E0,9.840364115E0
1.349390458E0,-2.224374390E0,4.880900116E0,8.697962494E0,1.021888345E1
1.359428458E0,-8.309220886E-1,5.169649658E0,9.449399872E0,1.080309525E1
1.369465458E0,2.624043274E-1,5.219795380E0,1.002989273E1,1.130990133E1
1.379503458E0,9.090596008E-1,5.141957245E0,1.055320450E1,1.177438911E1
1.389540458E0,1.118025055E0,4.862338715E0,1.108415039E1,1.215527489E1
1.399578458E0,1.049766998E0,4.409230957E0,1.136182297E1,1.223251199E1
1.409615458E0,7.873626709E-1,3.895349579E0,1.137289993E1,1.204726281E1
1.419653459E0,3.614982605E-1,3.505260773E0,1.123488693E1,1.177455810E1
1.429690458E0,-2.270777893E-1,3.193459167E0,1.117007172E1,1.161982134E1
1.439728458E0,-6.779402161E-1,2.955603790E0,1.112546448E1,1.153131200E1
1.449766458E0,-1.002914429E0,2.723286896E0,1.093521011E1,1.131375044E1
1.459803458E0,-1.070424042E0,2.441722412E0,1.057221497E1,1.090318968E1
1.469841458E0,-9.369017029E-1,2.238145752E0,1.030576904E1,1.058753781E1
1.479878458E0,-8.888516235E-1,2.002685394E0,1.026250900E1,1.049380279E1
1.489916458E0,-9.740245056E-1,1.695524139E0,1.036040543E1,1.054331667E1
1.499953458E0,-1.264570312E0,1.338067474E0,1.039288788E1,1.055469948E1
1.509991458E0,-1.766626282E0,9.767189026E-1,1.034962784E1,1.054465479E1
1.520028458E0,-2.291434937E0,7.038363647E-1,1.022718246E1,1.050434771E1
1.530066459E0,-2.758912811E0,3.299139404E-1,1.013003448E1,1.050419163E1
1.540103458E0,-3.235970764E0,-2.061213684E-1,1.004950195E1,1.055966298E1
1.550141458E0,-3.756139069E0,-5.408253479E-1,1.002195923E1,1.071637716E1
1.560178458E0,-4.221820679E0,-3.986210632E-1,1.032612671E1,1.116295487E1
1.570216458E0,-4.447700958E0,-1.237925720E-1,1.064930466E1,1.154144957E1
1.580254458E0,-4.112398224E0,-3.076103210E-1,1.016985168E1,1.097416633E1
1.590291458E0,-3.158432007E0,-1.440903625E0,8.654702454E0,9.325007805E0
1.600329458E0,-3.417992249E0,-1.382824402E0,7.415130157E0,8.281245654E0
1.610366458E0,-4.424648895E0,-2.868035889E-1,6.376440125E0,7.766515487E0
1.620404458E0,-5.533992004E0,1.343156891E0,5.878575439E0,8.184545628E0
1.630441458E0,-6.264922028E0,2.738555145E0,5.238955536E0,8.613686052E0
1.640479458E0,-5.730084229E0,3.450774078E0,4.094136200E0,7.842426807E0
1.650516458E0,-5.122497711E0,3.587888947E0,3.454067230E0,7.144474111E0
1.660554458E0,-4.757706299E0,3.475323029E0,3.181035004E0,6.695716771E0
1.670591458E0,-4.588408356E0,3.442092133E0,3.364703064E0,6.650016255E0
1.680629458E0,-4.562212830E0,3.726051636E0,4.373006287E0,7.336240909E0
1.690666458E0,-4.629572754E0,4.148772583E0,5.918542328E0,8.583379353E0
1.700704458E0,-4.512067108E0,4.543801117E0,7.139553223E0,9.590521279E0
1.710742458E0,-4.047133942E0,4.217030640E0,8.245154114E0,1.010669120E1
1.720779458E0,-4.135300598E0,2.043550415E0,9.264534302E0,1.034931907E1
1.730817458E0,-3.262914734E0,2.196681976E0,8.036338348E0,8.947332469E0
1.740854458E0,-3.316353607E0,3.173101501E0,9.309440918E0,1.037942506E1
1.750892458E0,-4.200415192E0,3.296894073E0,8.704848175E0,1.021211927E1
1.760929458E0,-4.656217346E0,3.567680969E0,7.706873474E0,9.685277808E0
1.770967458E0,-5.191803589E0,4.050277405E0,6.763235779E0,9.439328883E0
1.781004458E0,-5.992039490E0,4.486470337E0,6.209537201E0,9.725806166E0
1.791042458E0,-6.778953094E0,4.745431824E0,5.831273804E0,1.012309648E1
1.801079458E0,-7.219187622E0,4.814737701E0,5.765710144E0,1.041833876E1
1.811117458E0,-7.121740265E0,4.622088318E0,6.091582489E0,1.044941444E1
1.821154458E0,-6.624474335E0,4.225263519E0,6.608307953E0,1.026675441E1
1.831192458E0,-6.049669647E0,3.844305725E0,7.136110382E0,1.011440857E1
1.841230458E0,-5.544470215E0,3.584146729E0,7.703580322E0,1.014556098E1
1.851267458E0,-5.334756317E0,3.432062988E0,8.162675629E0,1.033769581E1
1.861305458E0,-5.238805847E0,3.440744934E0,8.525371399E0,1.058138790E1
1.871342458E0,-5.326972504E0,3.542682953E0,8.832083588E0,1.090563795E1
1.881380458E0,-5.432652740E0,3.742068329E0,9.230704651E0,1.134560265E1
1.891417458E0,-5.379812622E0,3.964056702E0,9.625284119E0,1.171760316E1
1.901455458E0,-5.085973663E0,4.079167328E0,9.833052063E0,1.179812049E1
1.911492459E0,-4.596790924E0,4.143683167E0,9.806257782E0,1.159583066E1
1.921530458E0,-4.092339935E0,4.285588074E0,9.649234314E0,1.132348154E1
1.931567458E0,-3.666924591E0,4.501588898E0,9.426347809E0,1.107098332E1
1.941605458E0,-3.280128937E0,4.812192993E0,9.291478271E0,1.096576562E1
1.951642458E0,-2.966980133E0,5.109025726E0,9.228609009E0,1.095775247E1
1.961680458E0,-2.751428375E0,5.319188690E0,9.278155975E0,1.104302063E1
1.971718458E0,-2.627336426E0,5.477110291E0,9.478439484E0,1.125799489E1
1.981755458E0,-2.533481598E0,5.499563599E0,9.690847778E0,1.142699696E1
1.991793458E0,-2.452500000E0,5.321733398E0,9.778415680E0,1.139969367E1
2.001830458E0,-2.450404358E0,5.095104675E0,9.767638092E0,1.128589062E1
2.011868458E0,-2.620450745E0,4.893324280E0,9.714049530E0,1.118812508E1
2.021905459E0,-2.824476471E0,4.668192444E0,9.656119995E0,1.109100272E1
2.031943458E0,-2.937042389E0,4.365222473E0,9.707612915E0,1.104169977E1
2.041980458E0,-2.930007019E0,4.135899353E0,9.817035370E0,1.104829344E1
2.052018458E0,-2.839595032E0,4.083807678E0,1.006836273E1,1.122999168E1
2.062055458E0,-2.771636353E0,4.041745148E0,1.026999344E1,1.137938650E1
2.072093458E0,-2.778522034E0,3.847898254E0,1.038779846E1,1.142072075E1
2.082130500E0,-2.935545502E0,3.642375641E0,1.029005173E1,1.130351681E1
2.092168500E0,-3.218307495E0,3.523223419E0,1.006447083E1,1.113841009E1
2.102205500E0,-3.323388977E0,3.536396027E0,9.806407471E0,1.094150989E1
2.112243500E0,-3.291355591E0,3.573069763E0,9.438173218E0,1.061503475E1
2.122281500E0,-3.071911926E0,3.607647858E0,9.035660248E0,1.020269190E1
2.132318499E0,-2.800675964E0,3.709585876E0,8.773405609E0,9.928618193E0
2.142356500E0,-2.660717010E0,3.891906738E0,8.733438721E0,9.924681605E0
2.152393499E0,-2.448608093E0,4.076323242E0,8.861123199E0,1.005642069E1
2.162431500E0,-2.122286682E0,4.230203247E0,9.082812195E0,1.024188448E1
2.172468500E0,-1.670675812E0,4.338577881E0,9.370663605E0,1.046058087E1
2.182506500E0,-1.323248291E0,4.415218506E0,9.603279877E0,1.065214180E1
2.192543500E0,-1.162033539E0,4.202660522E0,9.662406921E0,1.060069738E1
2.202581500E0,-1.038690033E0,3.582649841E0,9.744735718E0,1.043427674E1
2.212618500E0,-8.491841125E-1,2.707270203E0,9.583820343E0,9.995000649E0
2.222656500E0,-5.658233643E-1,1.752854919E0,8.515491943E0,8.712419841E0
2.232693500E0,-1.577719116E-1,1.247655487E0,7.089257813E0,7.199938369E0
2.242731499E0,5.316943359E-1,1.143023071E0,5.616919556E0,5.756647106E0
2.252768500E0,1.080004120E0,1.487007751E0,4.401896210E0,4.770145825E0
2.262806499E0,1.564546509E0,2.428100739E0,3.541186066E0,4.569844388E0
2.272844500E0,1.511706390E0,3.768114166E0,3.132535858E0,5.128032906E0
2.282881500E0,4.671784973E-1,5.056484985E0,3.991000671E0,6.458667240E0
2.292919500E0,-1.134191437E0,5.577252045E0,6.378835144E0,8.548781690E0
2.302956500E0,-2.640209656E0,4.496798859E0,9.086853790E0,1.047677521E1
2.312994500E0,-3.844605103E0,2.360890503E0,1.163680115E1,1.248078256E1
2.323031500E0,-4.610113220E0,3.362008667E-1,1.375504623E1,1.451094318E1
2.333069500E0,-4.913083191E0,-1.343755646E0,1.490660156E1,1.575280406E1
2.343106500E0,-4.819078674E0,-2.302960968E0,1.569396423E1,1.657792695E1
2.353144499E0,-3.907474365E0,-2.637066193E0,1.595127914E1,1.663327329E1
2.363181500E0,-2.578388214E0,-2.643203430E0,1.538785080E1,1.582468206E1
2.373219499E0,-1.359772339E0,-2.170037384E0,1.458656708E1,1.480965841E1
2.383256500E0,-6.515950012E-1,-1.277144165E0,1.385324203E1,1.392723907E1
2.393294500E0,-4.198768616E-1,-2.652484131E-1,1.294373337E1,1.295325777E1
2.403332500E0,-2.335144043E-1,6.846762085E-1,1.182690582E1,1.184900890E1
2.413369500E0,-9.310638428E-2,1.359922028E0,1.059885956E1,1.068615369E1
2.423407500E0,-1.654060364E-1,1.683549042E0,9.504934387E0,9.654298226E0
