"Time (s)","Acceleration x (m/s^2)","Acceleration y (m/s^2)","Acceleration z (m/s^2)","Absolute acceleration (m/s^2)"
2.247178917E0,5.655090179E0,-4.393663330E0,1.120569763E1,1.329857067E1
2.257156917E0,4.888384552E0,-3.582649841E0,9.564660187E0,1.132318011E1
2.267134917E0,4.298610992E0,-2.857857056E0,7.978109436E0,9.502401464E0
2.277112917E0,3.899241486E0,-2.207010498E0,6.581663361E0,7.961989205E0
2.287090917E0,3.644022217E0,-1.680106201E0,5.306914215E0,6.653194214E0
2.297068917E0,3.392844543E0,-1.247805176E0,4.235891418E0,5.568768981E0
2.307046917E0,3.131038971E0,-8.433462524E-1,3.403771820E0,4.701095675E0
2.317024917E0,2.864143982E0,-5.177732849E-1,2.691552887E0,3.964324264E0
2.327002917E0,2.642454987E0,-3.192860413E-1,2.082469482E0,3.379525274E0
2.336980917E0,2.486329651E0,-1.438508606E-1,1.662742310E0,2.994535054E0
2.346958917E0,2.275867310E0,-1.616638184E-2,1.309027863E0,2.625526101E0
2.356936917E0,1.980681152E0,2.095642090E-1,1.028960266E0,2.241823859E0
2.366914917E0,1.639091492E0,5.324427795E-1,8.512797546E-1,1.922184552E0
2.376892917E0,1.346300354E0,8.167016602E-1,7.566764832E-1,1.747021907E0
2.386870917E0,1.130748596E0,1.043480072E0,6.463558960E-1,1.668897538E0
2.396848917E0,1.070723419E0,1.098266144E0,6.725514221E-1,1.674802251E0
2.406825917E0,1.012494507E0,1.155297546E0,6.987469482E-1,1.687632912E0
2.416803917E0,9.798623657E-1,1.164278870E0,7.921527100E-1,1.715570301E0
2.426781917E0,9.348060608E-1,1.165775757E0,9.966275024E-1,1.796151960E0
2.436759917E0,9.572593689E-1,1.151854706E0,1.185534668E0,1.910132773E0
2.446737917E0,1.058598633E0,1.048569489E0,1.292711792E0,1.972620799E0
2.456715917E0,1.266067200E0,8.020321655E-1,1.383872223E0,2.039922567E0
2.466693917E0,1.617386627E0,4.137396240E-1,1.411414948E0,2.186140922E0
2.476671917E0,2.070494385E0,-1.862127686E-1,1.486708374E0,2.555762896E0
2.486649917E0,2.625989227E0,-9.458830261E-1,2.001787262E0,3.434773117E0
2.496627917E0,3.317850494E0,-1.826950836E0,2.687211914E0,4.644027254E0
2.506605917E0,3.939208374E0,-2.805765381E0,3.688030701E0,6.082043442E0
2.516583917E0,4.489763489E0,-3.642225952E0,5.174739075E0,7.758976129E0
2.526561917E0,5.416636047E0,-4.632267151E0,7.119494934E0,1.007397901E1
2.536539917E0,6.570736084E0,-5.821244659E0,9.458530884E0,1.290446700E1
2.546517917E0,8.175249481E0,-7.018155670E0,1.178768738E1,1.596993384E1
2.556495917E0,9.781110077E0,-8.244106293E0,1.446801361E1,1.931214180E1
2.566473917E0,1.107247467E1,-9.316775665E0,1.657413391E1,2.200236167E1
2.576450917E0,1.253463409E1,-1.005504044E1,1.760025009E1,2.383253435E1
2.586428917E0,1.355416397E1,-1.067056046E1,1.829330887E1,2.514401262E1
2.596406917E0,1.386566620E1,-1.073043594E1,1.833043167E1,2.536540321E1
2.606384917E0,1.357826385E1,-1.009246262E1,1.783032166E1,2.457941052E1
2.616362917E0,1.299238220E1,-9.422605591E0,1.708846436E1,2.344361545E1
2.626340917E0,1.223660385E1,-8.692274323E0,1.609078903E1,2.200462675E1
2.636318917E0,1.140912460E1,-7.794291687E0,1.495974106E1,2.036450244E1
2.646296917E0,1.058718384E1,-7.022945709E0,1.380983231E1,1.876490598E1
2.656274917E0,9.632319489E0,-6.295907593E0,1.287802002E1,1.727030488E1
2.666252917E0,8.514444122E0,-5.309758301E0,1.192165878E1,1.558252996E1
2.676229917E0,7.439529419E0,-4.307143250E0,1.085213287E1,1.384438041E1
2.686207917E0,6.557264099E0,-3.456611938E0,9.698781281E0,1.220705685E1
2.696185917E0,5.844596100E0,-2.745590515E0,8.466992798E0,1.064835846E1
2.706163917E0,5.237009583E0,-2.100282440E0,7.260950775E0,9.195589261E0
2.716141917E0,4.725373535E0,-1.500180359E0,6.037395172E0,7.812159536E0
2.726118917E0,4.318818970E0,-9.901908875E-1,4.860542450E0,6.577047073E0
2.736096917E0,4.000281372E0,-5.770500183E-1,3.805686035E0,5.551439811E0
2.746074917E0,3.687431946E0,-1.835183716E-1,2.874023438E0,4.678765229E0
2.756052917E0,3.366349640E0,1.860630798E-1,2.076481934E0,3.959634653E0
2.766030917E0,3.120411072E0,4.586462402E-1,1.462309113E0,3.476444962E0
2.776008917E0,3.323538666E0,3.932322693E-1,1.945653992E0,3.871189783E0
2.785986917E0,3.146307220E0,1.866618347E-1,1.078956299E0,3.331401876E0
2.795964917E0,2.661465454E0,5.944139099E-1,2.137554932E-1,2.735400824E0
2.805942917E0,2.256108398E0,9.210346985E-1,1.993853760E-1,2.445012178E0
2.815920917E0,2.050286407E0,1.112486572E0,-5.613327026E-2,2.333334882E0
2.825898917E0,1.649569702E0,1.519041138E0,-5.242098999E-1,2.302902994E0
2.835876917E0,1.680555267E0,1.359323273E0,-9.310638428E-2,2.163491291E0
2.845854917E0,1.808988190E0,1.194965057E0,1.481918335E-2,2.168086568E0
2.855832917E0,1.951940918E0,1.255738678E0,9.131011963E-2,2.322776466E0
